Path,Sample,FileName,Reference,Group,Outgroup,Type
./sra/,S01-0155-6,SRR9713660,bfrag,L01,0,PE
./sra/,S01-0155-4,SRR9713662,bfrag,L01,0,PE
./sra/,S01-0155-9,SRR9713663,bfrag,L01,0,PE
./sra/,S01-0156-1,SRR9713664,bfrag,L01,0,PE
./sra/,S01-0155-7,SRR9713665,bfrag,L01,0,PE
./sra/,S01-0155-8,SRR9713666,bfrag,L01,0,PE
./sra/,S01-0156-10,SRR9713668,bfrag,L01,0,PE
./sra/,S01-0156-11,SRR9713669,bfrag,L01,0,PE
./sra/,S01-0259-13,SRR9713670,bfrag,L01,0,PE
./sra/,S01-0259-12,SRR9713685,bfrag,L01,0,PE
./sra/,S01-0259-15,SRR9713686,bfrag,L01,0,PE
./sra/,S01-0259-14,SRR9713687,bfrag,L01,0,PE
./sra/,S01-0171-22,SRR9713720,bfrag,L01,0,PE
./sra/,S01-0171-21,SRR9713721,bfrag,L01,0,PE
./sra/,S01-0171-20,SRR9713722,bfrag,L01,0,PE
./sra/,S01-0171-2,SRR9713723,bfrag,L01,0,PE
./sra/,S01-0171-19,SRR9713724,bfrag,L01,0,PE
./sra/,S01-0171-18,SRR9713725,bfrag,L01,0,PE
./sra/,S01-0171-17,SRR9713726,bfrag,L01,0,PE
./sra/,S01-0171-16,SRR9713727,bfrag,L01,0,PE
./sra/,S01-0171-24,SRR9713728,bfrag,L01,0,PE
./sra/,S01-0171-23,SRR9713729,bfrag,L01,0,PE
./sra/,S01-0156-7,SRR9713730,bfrag,L01,0,PE
./sra/,S01-0155-3,SRR9713731,bfrag,L01,0,PE
./sra/,S01-0156-8,SRR9713732,bfrag,L01,0,PE
./sra/,S01-0171-14,SRR9713733,bfrag,L01,0,PE
./sra/,S01-0171-15,SRR9713734,bfrag,L01,0,PE
./sra/,S01-0156-9,SRR9713760,bfrag,L01,0,PE
./sra/,S01-0171-1,SRR9713761,bfrag,L01,0,PE
./sra/,S01-0171-10,SRR9713762,bfrag,L01,0,PE
./sra/,S01-0171-11,SRR9713763,bfrag,L01,0,PE
./sra/,S01-0171-12,SRR9713764,bfrag,L01,0,PE
./sra/,S01-0171-13,SRR9713765,bfrag,L01,0,PE
./sra/,S01-0002-9,SRR9713766,bfrag,L01,0,PE
./sra/,S01-0002-8,SRR9713767,bfrag,L01,0,PE
./sra/,S01-0002-5,SRR9713768,bfrag,L01,0,PE
./sra/,S01-0002-4,SRR9713769,bfrag,L01,0,PE
./sra/,S01-0002-7,SRR9713770,bfrag,L01,0,PE
./sra/,S01-0002-6,SRR9713771,bfrag,L01,0,PE
./sra/,S01-0002-15,SRR9713772,bfrag,L01,0,PE
./sra/,S01-0002-14,SRR9713773,bfrag,L01,0,PE
./sra/,S01-0002-3,SRR9713774,bfrag,L01,0,PE
./sra/,S01-0002-2,SRR9713775,bfrag,L01,0,PE
